"Citation","Diet.richness.minimum","Ecosystem","EndoEcto","Feeding.data.type","First.entry.Name","Latitude","mass_g","Month","Space.averaging","Taxon.group","Time.averaging","Total.stomachs.count.given","Year"
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",14,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",20,2017
"Nakagawa_2023",7,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",21,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",9,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",2,2017
"Nakagawa_2023",5,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",33,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",2,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",16,2017
"Nakagawa_2023",7,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",172,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",19,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",3,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",2,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",34,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",10,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",6,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",11,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",2,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",4,2017
"Nakagawa_2023",5,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",64,2017
"Nakagawa_2023",7,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",34,2017
"Nakagawa_2023",5,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",39,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",8,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",16,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",4,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",6,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",22,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",2,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",56,2017
"Nakagawa_2023",10,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",102,2017
"Nakagawa_2023",8,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",69,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",2,2017
"Nakagawa_2023",9,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",57,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",2,2017
"Nakagawa_2023",11,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",79,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",9,2017
"Nakagawa_2023",0,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",5,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",8,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",15,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",19,2017
"Nakagawa_2023",8,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",38,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",21,2017
"Nakagawa_2023",8,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",160,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",21,2017
"Nakagawa_2023",11,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",64,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",13,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",2,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",23,2017
"Nakagawa_2023",1,"Lotic","Ectotherm","Gut content (lethal)","Gray",35.33,NA,NA,"100m","Arthropods","Years",2,2017
"Prata_2025",40,"Lotic","Ectotherm","Gut content (lethal)","Gray",-3.12,NA,NA,"1000m","Fish","Months",385,2021
"Randall_1967",5,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",17,1963
