"search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches"
"caperea_marginata","Caperea marginata",TRUE,0.941176474094391,397243,FALSE,"",1
"caquetaia_kraussii","Caquetaia kraussii",TRUE,0.944444417953491,870660,FALSE,"",2
"carangoides_gymnostethus","Carangoides gymnostethus",TRUE,0.958333313465118,201312,FALSE,"",1
"carcharhinus_falciformis","Carcharhinus falciformis",TRUE,0.958333313465118,787198,FALSE,"",3
"carcharhinus_leucas","Carcharhinus leucas",TRUE,0.947368443012238,343172,FALSE,"",4
"carcharhinus_obscurus","Carcharhinus obscurus",TRUE,0.952380955219269,400238,FALSE,"",2
"carcharhinus_plumbeus","Carcharhinus plumbeus",TRUE,0.952380955219269,400246,FALSE,"",2
"carcharias_taurus","Carcharias taurus",TRUE,0.941176474094391,331725,FALSE,"",3
"carcinoscorpius_rotundicauda","Carcinoscorpius rotundicauda",TRUE,0.964285731315613,1089003,FALSE,"",2
"carcinus_maenas","Carcinus maenas",TRUE,0.933333337306976,1089892,FALSE,"",2
"carparachne_aureoflava","Carparachne aureoflava",TRUE,0.954545438289642,3551656,FALSE,"",1
"carphophis_amoenus","Carphophis amoenus",TRUE,0.944444417953491,642555,FALSE,"",3
"catoprion_mento","Catoprion mento",TRUE,0.933333337306976,597343,FALSE,"",1
"cemophora_coccinea","Cemophora coccinea",TRUE,0.944444417953491,1032598,FALSE,"",1
"centromochlus_meridionalis","Ferrarissoaresia meridionalis",TRUE,0.961538434028625,6141844,FALSE,"",1
"centropomus_pectinatus","Centropomus pectinatus",TRUE,0.954545438289642,800712,FALSE,"incertae_sedis_inherited",2
"cepphus_grylle","Cepphus grylle",TRUE,0.928571403026581,280901,FALSE,"",1
"ceratoscopelus_townsendi","Ceratoscopelus townsendi",TRUE,0.958333313465118,462626,FALSE,"",1
"cercosaura_eigenmanni","Cercosaura eigenmanni",TRUE,0.952380955219269,967621,FALSE,"",1
"cercosaura_ocellata","Cercosaura ocellata",TRUE,0.947368443012238,846829,FALSE,"",1
"cereus_pedunculatus","Cereus pedunculatus",TRUE,0.947368443012238,1042322,FALSE,"",4
"ceriantheopsis_americanus","Ceriantheopsis americana",TRUE,0.959999978542328,444331,FALSE,"",2
"chacophrys_pierottii","Chacophrys pierottii",TRUE,0.949999988079071,431938,FALSE,"",2
"chaenobryttus_gulosus","Chaenobryttus gulosus",TRUE,0.952380955219269,476359,FALSE,"",1
"chamaeleo_gracilis","Chamaeleo gracilis",TRUE,0.944444417953491,824513,FALSE,"",2
"champsocephalus_gunnari","Champsocephalus gunnari",TRUE,0.95652174949646,684007,FALSE,"",2
"characidium","Characidium",FALSE,1,128231,FALSE,"",1
"charax_condei","Charax condei",TRUE,0.923076927661896,3624842,FALSE,"",1
"charax_gibbosus","Charax gibbosus",TRUE,0.933333337306976,3624849,FALSE,"",1
"charybdis_hellerii","Charybdis hellerii",TRUE,0.944444417953491,506133,FALSE,"",2
"chauliodus_macouni","Chauliodus macouni",TRUE,0.944444417953491,76509,FALSE,"",1
"cheirodontops_geayi","Cheirodontops geayi",TRUE,0.947368443012238,3625898,FALSE,"",1
"chendol_keelini","Chendol keelini",TRUE,0.933333337306976,3640961,FALSE,"",1
"chionoecetes_bairdi","Chionoecetes bairdi",TRUE,0.947368443012238,956514,FALSE,"",1
"chionoecetes_opilio","Chionoecetes opilio",TRUE,0.947368443012238,604254,FALSE,"",1
"chiropsalmus_quadrumanus","Chiropsalmus quadrumanus",TRUE,0.958333313465118,894962,FALSE,"",2
"chondrodactylus_angulifer","Chondrodactylus angulifer",TRUE,0.959999978542328,203962,FALSE,"",1
"chromis_chrysura","Chromis chrysura",TRUE,0.9375,477758,FALSE,"incertae_sedis_inherited",2
"chrysaora_melanaster","Chrysaora melanaster",TRUE,0.949999988079071,883634,FALSE,"",1
"chrysaora_quinquecirrha","Chrysaora quinquecirrha",TRUE,0.95652174949646,404507,FALSE,"",2
"cichla_intermedia","Cichla intermedia",TRUE,0.941176474094391,467391,FALSE,"",3
"cichla_orinocensis","Cichla orinocensis",TRUE,0.944444417953491,889122,FALSE,"",1
"cichla_temensis","Cichla temensis",TRUE,0.933333337306976,936817,FALSE,"",1
"cinclus_mexicanus","Cinclus mexicanus",TRUE,0.941176474094391,606627,FALSE,"",1
"citharichthys_spilopterus","Citharichthys spilopterus",TRUE,0.959999978542328,908921,FALSE,"",2
"clangula_hyemalis","Clangula hyemalis",TRUE,0.941176474094391,316879,FALSE,"",1
"clarias_gariepinus","Clarias gariepinus",TRUE,0.944444417953491,240811,FALSE,"",2
"clarias_ngamensis","Clarias ngamensis",TRUE,0.941176474094391,1094712,FALSE,"",3
"clarias_theodorae","Clarias theodorae",TRUE,0.941176474094391,370864,FALSE,"",2
"clavularia_frankliniana","Clavularia frankliniana",TRUE,0.95652174949646,3679821,FALSE,"sibling_higher",1
"clupea_harengus","Clupea harengus",TRUE,0.933333337306976,1005932,FALSE,"",4
"clupisoma_naziri","Clupisoma naziri",TRUE,0.9375,3621829,FALSE,"",1
"cnemidophorus_lemniscatus","Cnemidophorus lemniscatus",TRUE,0.959999978542328,164960,FALSE,"",2
"cnemidophorus_sexlineatus","Aspidoscelis sexlineatus",TRUE,0.959999978542328,164955,FALSE,"",1
"coleodactylus_amazonicus","Chatogekko amazonicus",TRUE,0.958333313465118,126724,FALSE,"",1
"coleodactylus_septentrionalis","Coleodactylus septentrionalis",TRUE,0.965517222881317,700787,FALSE,"",2
"coleonyx_variegatus","Coleonyx variegatus",TRUE,0.947368443012238,677271,FALSE,"",2
"colopus_wahlbergii","Pachydactylus wahlbergii",TRUE,0.944444417953491,203966,FALSE,"",2
"coluber_constrictor","Coluber constrictor",TRUE,0.947368443012238,405963,FALSE,"",1
"conger_conger","Conger conger",TRUE,0.923076927661896,142596,FALSE,"",1
"copella_metae","Copella metae",TRUE,0.923076927661896,3624436,FALSE,"",1
"corydalus_cornutus","Corydalus cornutus",TRUE,0.944444417953491,654841,FALSE,"",2
"corydoras","Corydoras",FALSE,1,628705,FALSE,"",1
"corydoras_aeneus","Corydoras aeneus",TRUE,0.9375,841718,FALSE,"",3
"corynopoma_riisei","Corynopoma riisei",TRUE,0.941176474094391,855287,FALSE,"",1
"coryphaena_hippurus","Coryphaena hippurus",TRUE,0.947368443012238,223663,FALSE,"",3
"coscinasterias_calamaria","Coscinasterias calamaria",TRUE,0.958333313465118,173128,FALSE,"sibling_higher",2
"cosmasterias_lurida","Cosmasterias lurida",TRUE,0.947368443012238,1059203,FALSE,"",1
"coturnicops_noveboracensis","Coturnicops noveboracensis",TRUE,0.961538434028625,242758,FALSE,"",1
"crangon_crangon","Crangon crangon",TRUE,0.933333337306976,497498,FALSE,"sibling_higher",1
"craspedacusta_sowerbii","Craspedacusta sowerbii",TRUE,0.954545438289642,127047,FALSE,"",2
"creagrutus_guanes","Creagrutus guanes",TRUE,0.941176474094391,3625059,FALSE,"",1
"crenicichla","Crenicichla",FALSE,1,952959,FALSE,"",1
"crenicichla_geayi","Crenicichla geayi",TRUE,0.941176474094391,159978,FALSE,"",1
"crenicichla_saxatilis","Crenicichla saxatilis",TRUE,0.952380955219269,952962,FALSE,"",1
"crocodylus_niloticus","Crocodylus niloticus",TRUE,0.949999988079071,35864,FALSE,"",1
"crocuta_crocuta","Crocuta crocuta",TRUE,0.933333337306976,397157,FALSE,"",1
"crossaster_papposus","Crossaster papposus",TRUE,0.947368443012238,912244,FALSE,"",1
"crossodactus_schmidti","Crossodactylus schmidti",TRUE,0.869565188884735,622244,FALSE,"",1
"crotalus_horridus","Crotalus horridus",TRUE,0.941176474094391,628544,FALSE,"",1
"crotalus_lutosus","Crotalus oreganus lutosus",TRUE,0.9375,875958,FALSE,"infraspecific",1
"crotalus_oreganus","Crotalus oreganus",TRUE,0.941176474094391,875963,FALSE,"",3
"crotaphytus_collaris","Crotaphytus collaris",TRUE,0.949999988079071,244476,FALSE,"",2
"cryptoblepharus_plagiocephalus","Cryptoblepharus plagiocephalus",TRUE,0.966666638851166,4123649,FALSE,"",2
"ctenogobius_pseudofasciatus","Ctenogobius pseudofasciatus",TRUE,0.962962985038757,3637104,FALSE,"",1
"ctenophorus_caudicinctus","Ctenophorus caudicinctus",TRUE,0.958333313465118,605925,FALSE,"",1
"ctenophorus_clayi","Ctenophorus clayi",TRUE,0.941176474094391,605926,FALSE,"",1
"ctenophorus_fordi","Ctenophorus fordi",TRUE,0.941176474094391,605921,FALSE,"",1
"ctenophorus_inermis","Ceresium inerme",TRUE,0.842105269432068,3367000,FALSE,"",2
"ctenophorus_isolepis","Ctenophorus isolepis",TRUE,0.949999988079071,32624,FALSE,"",1
"ctenophorus_reticulatus","Ctenophorus reticulatus",TRUE,0.95652174949646,745489,FALSE,"",4
"ctenophorus_scutulatus","Ctenophorus scutulatus",TRUE,0.954545438289642,745485,FALSE,"",2
"ctenotus_ariadnae","Ctenotus ariadnae",TRUE,0.941176474094391,908651,FALSE,"",1
"ctenotus_atlas","Ctenotus atlas",TRUE,0.928571403026581,284183,FALSE,"",2
