"Cite","ConIDorig","ConID","ott_id","TSc","FSc","fF","TG","EE","BM","Eco","Lat","Long","DR","DRlog","Drf","Drc","TA","TAlog","SA","SAlog","Yr","tWS","DT","FD"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,22,4,0.1818,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1986,24,1986-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,106,41,0.3868,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,207,1987-01-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,84,2,0.0238,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,24,1987-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,60,17,0.2833,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1986,207,1986-01-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,66,7,0.1061,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,24,1987-07-15 00:00:00,"Gut content (non-lethal)"
"Shine_1986","Acrochordus_arafurae","Acrochordus_arafurae",522482,251,8,0.0319,"Reptiles","Ectotherm",1694.5,"Lotic",-12.626,NA,13,1.11394335230684,"Species","Class","Years",3.94250410616808,"10km",4,1983,NA,1983-01-01 00:00:00,"Gut content"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,52,28,0.5385,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,207,1987-01-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,96,9,0.0938,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,24,1987-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,172,13,0.0756,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,24,1987-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,68,20,0.2941,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1986,207,1986-01-15 00:00:00,"Gut content (non-lethal)"
