species,order,family,lifestyle,trophic_level,aspect_ratio,MMRsource,MMRmass,MMRtemp,MMR1kg15deg,MMRref,RMRsource,RMRmass,RMRtemp,RMR1kg15deg,RMRref,Brain_brainmass,Brain_bodymass,Brain_percent,Gill_meanSA,Gill_bodymass,Liver_bodymass,Liver_temp,LiverHSI,MuscleFatfreeprotein
Sparus_aurata,Perciformes,Sparidae,benthic,3.26,1.97,NA,NA,NA,,NA,5.68,51.60,23.50,62.65,"Guinea, J., & Fernandez, F. (1997). Effect of feeding frequency, feeding level and temperature on energy metabolism in Sparus aurata. Aquaculture, 148(2), 125-142.",NA,NA,NA,NA,NA,35.567,24.5,1.312,20.8
Spinibarbus_sinensis,Cyrpiniformes,Cyprinidae,benthopelagic,2.6,NA,0.57,4.80,25.00,59.94,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.09,4.80,25.00,9.25,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Stizostedion_vitreum,Perciformes,Percidae,benthic,4.46,NA,NA,NA,NA,,NA,22.88,313.70,20.00,53.98,"Tarby, M. J. (1981). Metabolic expenditure of waleye (Stizostedion vitreum vitreum) as determined by rate of oxgen consumption. Canadian Journal of Zoology, 59(6), 882-889.",NA,NA,NA,3.150,2.870,NA,NA,NA,NA
Thunnus_albacares,Perciformes,Scombridae,pelagic,4.34,7.21,1939.41,1246.67,23.00,1196.15,"Dewar, H., & Graham, J. (1994). Studies of tropical tuna swimming performance in a large water tunnel-energetics. The Journal of experimental biology, 192(1), 13-31.",354.89,1246.67,23.00,195.85,"Dewar, H., & Graham, J. (1994). Studies of tropical tuna swimming performance in a large water tunnel-energetics. The Journal of experimental biology, 192(1), 13-31.",3.860,4824.690,0.080,4.900,3.890,NA,NA,NA,24.5
Thunnus_orientalis,Perciformes,Scombridae,pelagic,4.2,NA,4233.00,8500.00,20.00,479.05,"Blank, J. M., Morrissette, J. M., Farwell, C. J., Price, M., Schallert, R. J., & Block, B. A. (2007). Temperature effects on metabolic rate of juvenile Pacific bluefin tuna Thunnus orientalis. Journal of Experimental Biology, 210(23), 4254-4261.",1665.00,7500.00,20.00,193.65,"Blank, J. M., Morrissette, J. M., Farwell, C. J., Price, M., Schallert, R. J., & Block, B. A. (2007). Temperature effects on metabolic rate of juvenile Pacific bluefin tuna Thunnus orientalis. Journal of Experimental Biology, 210(23), 4254-4261.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Trematomus_bernacchii,Perciformes,Nototheniidae,benthic,3.26,NA,NA,NA,NA,,NA,8.83,178.10,-1.50,100.44,"Wells, R. M. (1987). Respiration of antarctic fish from McMurdo Sound. Comparative Biochemistry and Physiology Part A: Physiology, 88(3), 417-424.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Trematomus_centronotus,Perciformes,Nototheniidae,benthic,3.25,NA,NA,NA,NA,,NA,7.92,183.30,-1.50,87.61,"Wells, R. M. (1987). Respiration of antarctic fish from McMurdo Sound. Comparative Biochemistry and Physiology Part A: Physiology, 88(3), 417-424.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Trematomus_hansoni,Perciformes,Nototheniidae,benthic,3.92,NA,NA,NA,NA,,NA,0.20,3.00,3.00,88.98,"Morris, D. J., & North, A. W. (1984). Oxygen consumption of five species of fish from South Georgia. Journal of experimental marine biology and ecology, 78(1), 75-86.",NA,NA,NA,NA,NA,246.5,3,3.295,NA
Trematomus_nicolai,Perciformes,Nototheniidae,benthic,3.56,NA,NA,NA,NA,,NA,3.93,114.20,-1.50,68.08,"Wells, R. M. (1987). Respiration of antarctic fish from McMurdo Sound. Comparative Biochemistry and Physiology Part A: Physiology, 88(3), 417-424.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Typhlogobius_californiensis,Perciformes,Gobiidae,benthic,2,NA,NA,NA,NA,,NA,0.03,1.60,15.00,14.42,"Congleton, J. L. (1974). The respiratory response to asphyxia of Typhlogobius californiensis (Teleostei: Gobiidae) and some related gobies. The Biological Bulletin, 146(2), 186-205.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Zacco_platypus,Cyrpiniformes,Cyprinidae,benthopelagic,3.1,NA,3.92,10.75,25.00,194.48,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.90,10.75,25.00,41.01,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,NA,NA,NA,NA,NA,NA
