"taxon","mass_g","source_mass","n"
"Ameivula",14.37,"GenusAverage",26
"Amerotyphlops",17.8,"GenusAverage",19
"Ametrida",10.44,"GenusAverage",5
"Amia",1073,"GenusAverage",0
"Amietophrynus",15.85,"GenusAverage",3
"Ammocrypta",2.1,"GenusAverage",2
"Ammodillus",50,"GenusAverage",4
"Ammodorcas",28670,"GenusAverage",7
"Ammodramus",16.04,"GenusAverage",41
"Ammodytes",43.56,"GenusAverage",10
"Ammomanes",21.18,"GenusAverage",13
"Ammomanopsis",20.85,"GenusAverage",1
"Ammoperdix",193.1,"GenusAverage",6
"Ammospermophilus",118.6,"GenusAverage",31
"Ammotragus",90180,"GenusAverage",11
"Amnesteophis",14,"GenusAverage",1
"Amniataba",40.6,"GenusAverage",1
"Amnirana",15.49,"GenusAverage",3
"Amolops",19.53,"GenusAverage",3
"Amorphochilus",3.512,"GenusAverage",4
"Ampeliceps",88.18,"GenusAverage",2
"Ampelioides",79.43,"GenusAverage",2
"Ampelion",69.51,"GenusAverage",4
"Amphibalanus",0.01013,"GenusAverage",1
"Amphibolis",0.5,"GenusAverage",2
"Amphibolurus",60.68,"GenusAverage",6
"Amphicteis",0.365,"GenusAverage",1
"Amphiesma",187.6,"GenusAverage",4
"Amphiesmoides",159.5,"GenusAverage",1
"Amphiglossus",41.85,"GenusAverage",29
"Amphilais",12.25,"GenusAverage",2
"Amphilophus",315.1,"GenusAverage",1
"Amphinectomys",217.3,"GenusAverage",1
"Amphinemura",0.00306,"GenusAverage",0
"Amphiprion",50.54,"GenusAverage",11
"Amphisbaena",34.77,"GenusAverage",212
"Amphispiza",16.32,"GenusAverage",12
"Amphistichus",1100,"GenusAverage",1
"Amphiuma",1689,"GenusAverage",3
"Amphiura",0.1552,"GenusAverage",0
"Amphora",3.906e-10,"GenusAverage",2
"Amplorhinus",40.8,"GenusAverage",1
"Amyda",20000,"GenusAverage",2
"Amytornis",22.83,"GenusAverage",37
"Anabacerthia",23.93,"GenusAverage",6
"Anabarilius",126.9,"GenusAverage",2
"Anabas",181.3,"GenusAverage",2
"Anabathmis",9.2,"GenusAverage",3
"Anabazenops",37.2,"GenusAverage",3
"Anabolia",0.001139,"GenusAverage",1
"Anacaena",0.0002314,"GenusAverage",1
"Anadia",14.49,"GenusAverage",39
"Anadoras",75.95,"GenusAverage",1
"Anairetes",7.594,"GenusAverage",13
"Anapisona",8e-04,"GenusAverage",0
"Anaplectes",22.45,"GenusAverage",4
"Anarhichas",53480,"GenusAverage",5
"Anarhynchus",57.17,"GenusAverage",4
"Anarrhichthys",18400,"GenusAverage",1
"Anas",659.2,"GenusAverage",189
"Anasterias",15,"GenusAverage",0
"Anastomus",2109,"GenusAverage",6
"Anathana",160,"GenusAverage",5
"Anatololacerta",7.881,"GenusAverage",9
"Anax",4.88,"GenusAverage",3
"Anaxyrus",30.78,"GenusAverage",12
"Ancherythroculter",200.5,"GenusAverage",5
"Anchoa",16.54,"GenusAverage",2
"Anchomenus",0.0187,"GenusAverage",0
"Anchovia",18.7,"GenusAverage",0
"Anchoviella",32,"GenusAverage",1
"Ancistrocheirus",579.2,"GenusAverage",1
"Ancistrops",35.9,"GenusAverage",2
"Ancistrus",61.37,"GenusAverage",3
"Ancylocranium",13.17,"GenusAverage",6
"Ancylus",0.04366,"GenusAverage",2
"Andalgalomys",29.15,"GenusAverage",8
"Andigena",321.5,"GenusAverage",9
"Andinoacara",198.5,"GenusAverage",4
"Andinobates",4.5,"GenusAverage",0
"Andinomys",69.73,"GenusAverage",4
"Andinosaura",8.823,"GenusAverage",11
"Andrias",22860,"GenusAverage",4
"Androdon",7.3,"GenusAverage",2
"Androngo",14.1,"GenusAverage",1
"Andropadus",28.92,"GenusAverage",27
"Androphobus",41,"GenusAverage",1
"Aneides",12.45,"GenusAverage",5
"Anelosimus",0.005181,"GenusAverage",2
"Anelytropsis",51.69,"GenusAverage",2
"Anemonia",22.5,"GenusAverage",0
"Anepischetosia",3.453,"GenusAverage",3
"Anguilla",6037,"GenusAverage",43
"Anguis",49.99,"GenusAverage",20
"Anhima",3142,"GenusAverage",3
"Anhinga",1417,"GenusAverage",18
"Anilios",42.41,"GenusAverage",66
"Anilius",246.4,"GenusAverage",4
"Anisarchus",4.945,"GenusAverage",0
"Anisognathus",37.57,"GenusAverage",11
"Anisolepis",25.11,"GenusAverage",6
"Anisomys",510.5,"GenusAverage",4
"Anisotremus",1234,"GenusAverage",2
"Anisus",0.005499,"GenusAverage",1
"Ankyra",1.53e-10,"GenusAverage",1
"Anniella",6.633,"GenusAverage",18
"Anodonta",36.4,"GenusAverage",2
"Anodontostoma",167.9,"GenusAverage",1
"Anodorhynchus",1154,"GenusAverage",7
"Anodus",184,"GenusAverage",1
"Anolis",11.79,"GenusAverage",1021
"Anomalepis",1.675,"GenusAverage",4
"Anomaloglossus",0.4,"GenusAverage",1
"Anomalops",554.6,"GenusAverage",1
"Anomalopus",9.946,"GenusAverage",14
"Anomalospiza",19.52,"GenusAverage",3
"Anomalurus",785.6,"GenusAverage",24
"Anomochilus",27.9,"GenusAverage",3
"Anonymomys",57.9,"GenusAverage",2
"Anopetia",3,"GenusAverage",1
"Anopheles",0.00522,"GenusAverage",1
"Anoplocapros",742.5,"GenusAverage",1
"Anoplogaster",126.9,"GenusAverage",1
"Anoplohydrus",17.5,"GenusAverage",1
"Anoplopoma",25940,"GenusAverage",2
"Anorrhinus",960.4,"GenusAverage",6
"Anostomoides",669.9,"GenusAverage",1
"Anotomys",66.4,"GenusAverage",4
"Anotopterus",1650,"GenusAverage",1
"Anotosaura",2.702,"GenusAverage",4
"Anotylus",9.7e-05,"GenusAverage",2
"Anoura",13.16,"GenusAverage",21
"Anourosorex",21.72,"GenusAverage",11
"Anous",104.4,"GenusAverage",14
"Anser",2434,"GenusAverage",54
"Anseranas",2420,"GenusAverage",6
"Antaioserpens",27.8,"GenusAverage",1
"Antarctic",1.035e-10,"GenusAverage",1
"Antarctomysis",0.721,"GenusAverage",1
"Antaresia",385.4,"GenusAverage",9
"Antechinomys",24.64,"GenusAverage",9
"Antechinus",47.11,"GenusAverage",59
"Antennarius",109.8,"GenusAverage",1
"Anthipes",11,"GenusAverage",1
"Anthobaphes",9.55,"GenusAverage",1
"Anthocephala",4.24,"GenusAverage",1
"Anthochaera",78.92,"GenusAverage",14
"Anthocomus",0.003349,"GenusAverage",1
"Anthonomus",0.00686,"GenusAverage",1
"Anthopleura",0.075,"GenusAverage",0
"Anthops",10.48,"GenusAverage",3
"Anthornis",27.52,"GenusAverage",4
"Anthoscopus",6.421,"GenusAverage",12
"Anthracoceros",827.6,"GenusAverage",9
"Anthracothorax",7.085,"GenusAverage",15
"Anthreptes",9.452,"GenusAverage",42
"Anthropoides",2375,"GenusAverage",2
"Anthus",23.65,"GenusAverage",112
"Antidorcas",34930,"GenusAverage",14
"Antifer",86670,"GenusAverage",1
"Antigone",5275,"GenusAverage",4
"Antillomys",460,"GenusAverage",1
"Antillophis",22.9,"GenusAverage",1
"Antillothrix",4570,"GenusAverage",1
"Antilocapra",42930,"GenusAverage",12
"Antilope",33640,"GenusAverage",10
"Antilophia",20.84,"GenusAverage",4
"Antimora",2321,"GenusAverage",3
"Antistea",0.0002968,"GenusAverage",1
"Antocha",0.0001166,"GenusAverage",1
"Antrostomus",67.14,"GenusAverage",13
"Antrozous",21.64,"GenusAverage",6
"Anumbius",41.5,"GenusAverage",2
"Anurolimnas",86.45,"GenusAverage",4
"Anurophasis",401,"GenusAverage",2
"Anyperodon",3666,"GenusAverage",1
"Aonyx",12210,"GenusAverage",19
"Aotus",853.3,"GenusAverage",64
"Apalharpactes",95.41,"GenusAverage",2
"Apalis",9.499,"GenusAverage",60
"Apaloderma",59.71,"GenusAverage",9
"Apalone",13020,"GenusAverage",7
"Apalopteron",15,"GenusAverage",2
"Aparallactus",19.27,"GenusAverage",15
"Apareiodon",45.57,"GenusAverage",4
"Apathya",8.79,"GenusAverage",4
"Apeltes",3.1,"GenusAverage",1
"Aphaniotis",7.947,"GenusAverage",9
"Aphanius",4.981,"GenusAverage",0
"Aphanopus",4364,"GenusAverage",2
"Aphanotriccus",11.52,"GenusAverage",4
"Aphantochroa",7.7,"GenusAverage",2
"Aphelenchoides",3.8e-08,"GenusAverage",1
"Aphelocephala",11.02,"GenusAverage",11
"Aphelocheirus",0.0002261,"GenusAverage",1
"Aphelocoma",102.1,"GenusAverage",30
