"Var1","Freq"
"Phalacrocorax_carbo",3
"Pimelodella",3
"Plesionika_edwardsii",3
"Pleurodema_diplolister",3
"Pseudis_limellum",3
"Regina_septemvittata",3
"Rhamdia",3
"Salamandra_lanzai",3
"Acanthinucella_spirata",2
"Andinobates_minutus",2
"Aspidoscelis_sexlineatus",2
"Blarinomys_breviceps",2
"Bombina_variegata",2
"Boreogadus_saida",2
"Bucephala_clangula",2
"Bufo_bufo",2
"Burnupena_lagenaria",2
"Canis_latrans",2
"Canis_mesomelas",2
"Carphophis_amoenus",2
"Ceriantheopsis_americana",2
"Chionoecetes_opilio",2
"Cinclus_mexicanus",2
"Clangula_hyemalis",2
"Cnemidophorus_lemniscatus",2
"Corydoras",2
"Coscinasterias_calamaria",2
"Crocodylus_niloticus",2
"Dicentrarchus_labrax",2
"Doryteuthis_pealeii",2
"Eleutherodactylus_planirostris",2
"Eucopia_australis",2
"Eudyptes_chrysocome",2
"Eurycea_cirrigera",2
"Fejervarya_limnocharis",2
"Gymnoscopelus_fraseri",2
"Hemidactylus_mabouia",2
"Homarus_americanus",2
"Hoplobatrachus_occipitalis",2
"Hyperolius_concolor",2
"Hyperolius_fusciventris",2
"Hyperolius_guttulatus",2
"Hyperolius_sylvaticus",2
"Hypopomus",2
"Lampropeltis_triangulum",2
"Lepidonotothen_squamifrons",2
"Liodytes_alleni",2
"Liodytes_rigida",2
"Lithobius_crassipes",2
"Lithobius_mutabilis",2
"Luidia_foliolata",2
"Luidia_sarsi",2
"Martes_foina",2
"Mediaster_aequalis",2
"Mugil_cephalus",2
"Mus_musculus",2
"Nerodia_fasciata",2
"Nerodia_rhombifer",2
"Notophthalmus_viridescens",2
"Obelia_dichotoma",2
"Opheodrys_vernalis",2
"Ophiura_sarsii",2
"Otocyon_megalotis",2
"Pantherophis_guttatus",2
"Pantherophis_obsoletus",2
"Pelophylax_nigromaculatus",2
"Plethodon_albagula",2
"Polysticta_stelleri",2
"Pseudis_bolbodactyla",2
"Quelea_erythrops",2
"Rhinella_hoogmoedi",2
"Stenella_attenuata",2
"Storeria_dekayi",2
"Storeria_occipitomaculata",2
"Varanus_gouldii",2
"Vulpes_chama",2
"Acanthephyra_acutifrons",1
"Acanthephyra_curtirostris",1
"Acanthephyra_stylorostratis",1
"Acrochordus_granulatus",1
"Actinia_equina",1
"Adinia_xenica",1
"Aeginura_grimaldii",1
"Aelurillus_concolor",1
"Afronatrix_anoscopus",1
"Agama_agama",1
"Agama_hispida",1
"Agama_rueppelli",1
"Aglantha_digitale",1
"Alligator_mississippiensis",1
"Alloteuthis_media",1
"Alopoglossus_angulatus",1
"Alopoglossus_atriventris",1
"Ambystoma_rivulare",1
"Ambystoma_texanum",1
"Ameiva_ameiva",1
"Amietia_angolensis",1
"Amphiura_chiajei",1
"Amphiura_filiformis",1
"Anaxyrus_debilis",1
"Anaxyrus_punctatus",1
"Anchomenus_dorsalis",1
"Andinobates_virolinensis",1
"Aneides_ferreus",1
"Aneides_flavipunctatus",1
"Aneides_lugubris",1
"Anemonia_viridis",1
"Anguilla_anguilla",1
"Anolis_capito",1
"Anolis_chrysolepis",1
"Anolis_fuscoauratus",1
"Anolis_humilis",1
"Anolis_limifrons",1
"Anolis_oxylophus",1
"Anolis_punctatus",1
"Anolis_scypheus",1
"Anolis_tandai",1
"Anolis_trachyderma",1
"Anthomastus_bathyproctus",1
"Ariopsis_felis",1
"Artedidraco_lonnbergi",1
"Arthrosaura_reticulata",1
"Aspidoscelis_tigris",1
"Astropecten_articulatus",1
"Astropecten_platyacanthus",1
"Aythya_affinis",1
"Aythya_americana",1
"Aythya_ferina",1
"Aythya_marila",1
"Aythya_valisineria",1
"Batrachoseps_attenuatus",1
"Bdeogale_nigripes",1
"Bembidion_lampros",1
"Bentheogennema_intermedia",1
"Blackfordia_virginica",1
"Bolinopsis_infundibulum",1
"Bolitoglossa_mexicana",1
"Bolitoglossa_rufescens",1
"Boulengerula_taitana",1
"Bucephala_albeola",1
"Bucephala_islandica",1
"Bufo_japonicus",1
"Bunocephalus",1
"Caecilia_gracilis",1
"Calidris_alpina",1
"Calidris_minuta",1
"Callinectes_similis",1
"Callisaurus_draconoides",1
"Cancer_borealis",1
"Cancer_irroratus",1
"Carcharhinus_obscurus",1
"Carcharias_taurus",1
"Carparachne_aureoflava",1
"Cemophora_coccinea",1
"Cercosaura_eigenmanni",1
"Cercosaura_ocellata",1
"Cercosaura_oshaughnessyi",1
"Ceresium_inerme",1
"Cereus_pedunculatus",1
"Chacophrys_pierottii",1
"Chamaeleo_gracilis",1
"Charybdis_hellerii",1
"Chatogekko_amazonicus",1
"Chelon_auratus",1
"Chelon_ramada",1
"Chelon_saliens",1
"Chiropsalmus_quadrumanus",1
"Chondrodactylus_angulifer",1
"Chondrodactylus_bibronii",1
"Cichlasoma_urophthalmum",1
"Clavularia_frankliniana",1
"Coleodactylus_septentrionalis",1
"Coleonyx_variegatus",1
"Coturnicops_noveboracensis",1
"Crenicichla",1
"Crocuta_crocuta",1
"Crossodactylus_schmidti",1
"Crotalus_oreganus_lutosus",1
"Cryptoblepharus_plagiocephalus",1
"Ctenophorus_caudicinctus",1
"Ctenophorus_clayi",1
"Ctenophorus_fordi",1
"Ctenophorus_isolepis",1
"Ctenophorus_reticulatus",1
"Ctenophorus_scutulatus",1
"Ctenotus_ariadnae",1
"Ctenotus_atlas",1
"Ctenotus_brooksi",1
"Ctenotus_calurus",1
"Ctenotus_colletti",1
"Ctenotus_dux",1
"Ctenotus_grandis",1
"Ctenotus_helenae",1
"Ctenotus_leonhardii",1
"Ctenotus_pantherinus",1
"Ctenotus_piankai",1
"Ctenotus_quattuordecimlineatus",1
"Ctenotus_schomburgkii",1
"Cycloramphus_brasiliensis",1
"Cynodonichthys_isthmensis",1
"Cyphomyrus_discorhynchus",1
"Cyrba_algerina",1
"Delma_butleri",1
"Dendropsophus_branneri",1
"Dendropsophus_nanus",1
"Dendropsophus_sanborni",1
"Desmognathus_monticola",1
"Desmognathus_welteri",1
"Dicamptodon_tenebrosus",1
"Diplodactylus_conspicillatus",1
"Diplodactylus_pulcher",1
"Diporiphora_amphiboluroides",1
"Diporiphora_winneckei",1
"Dipturus_australis",1
"Discoglossus_montalentii",1
"Discoglossus_sardus",1
"Dissostichus_eleginoides",1
"Dryophytes_euphorbiaceus",1
"Dryophytes_versicolor",1
"Dytaster_grandis",1
"Echeneis_naucrates",1
"Elachistocleis_bicolor",1
"Electrona_antarctica",1
"Eleutherodactylus_coqui",1
"Ensatina_eschscholtzii",1
"Etmopterus_spinax",1
"Eucopia_sculpticauda",1
"Eucopia_unguiculata",1
"Eudyptes_chrysolophus",1
"Eudyptes_schlegeli",1
"Eukrohnia_hamata",1
"Euproctus_montanus",1
"Euthynnus_affinis",1
"Evermannella",1
"Falco_amurensis",1
"Falco_naumanni",1
"Farancia_abacura",1
"Forficula_auricularia",1
"Fratercula_arctica",1
"Freyella_elegans",1
"Gadus_morhua",1
"Gadus_ogac",1
"Galeus_melastomus",1
"Gambelia_wislizenii",1
"Gehyra_variegata",1
"Genetta_cristata",1
"Gennadas_valens",1
"Gephyreaster_swifti",1
"Gobionotothen_gibberifrons",1
"Gobiusculus_flavescens",1
"Gonatodes_concinnatus",1
"Gonatodes_hasemani",1
"Gonatodes_humeralis",1
"Gowidon_longirostris",1
"Grampus_griseus",1
"Graptemys_geographica",1
"Grayia_smithii",1
"Gulosus_aristotelis",1
"Gymnophthalmus_underwoodi",1
"Gymnoscopelus_nicholsi",1
"Halobaena_caerulea",1
"Harmothoe_imbricata",1
"Harpagifer_antarcticus",1
"Harpalus_rufipes",1
"Helicops_infrataeniatus",1
"Heliobolus_lugubris",1
"Heliobolus_spekii",1
"Hemidactylus_brookii",1
"Hemigrammus",1
"Hemigrammus_arriba",1
"Hemisus_marmoratus",1
"Heteronotia_binoei",1
"Hexaplex_princeps",1
"Holcosus_festivus",1
"Hymenaster_pellucidus",1
"Hymenodiscus_coronata",1
"Hymenodora_glacialis",1
"Hypsiglena_torquata",1
"Ichthyophis_bannanicus",1
"Incilius_mazatlanensis",1
"Itapotihyla_langsdorffii",1
"Kentropyx_calcarata",1
"Kentropyx_pelviceps",1
"Kentropyx_striata",1
"Lagenodelphis_hosei",1
"Lampropeltis_getula",1
"Lamyctes_fulvicornis",1
"Lanius_excubitor",1
"Larus_philadelphia",1
"Latastia_longicaudata",1
"Latirolagena_smaragdulus",1
"Latirus_polygonus",1
"Lensia_conoidea",1
"Lepidonotothen_nudifrons",1
"Lepomis_macrochirus",1
"Leptophis_mexicanus",1
"Leucorchestris_arenicola",1
"Leucorchestris_steyni",1
"Lialis_burtonis",1
"Liocarcinus_holsatus",1
"Liopholis_inornata",1
"Liopholis_striata",1
"Lithobius_curtipes",1
"Loricera_pilicornis",1
"Loxopholis_parietalis",1
"Loxopholis_percarinatum",1
"Lucasium_stenodactylum",1
"Luidia_clathrata",1
"Lygodactylus_capensis",1
"Lygodactylus_picturatus",1
"Lynx_lynx",1
"Lynx_rufus",1
"Masticophis_flagellum",1
"Megadyptes_antipodes",1
"Menetia_greyii",1
"Meridiastra_gunnii",1
"Meroles_squamulosus",1
"Meroles_suborbitalis",1
"Microcarbo_melanoleucos",1
"Micropanchax_johnstoni",1
"Micropogonias_undulatus",1
"Micropterus_salmoides",1
"Mimetus_notius",1
"Mochlus_sundevalli",1
"Moloch_horridus",1
"Morethia_butleri",1
"Morone_americana",1
"Nannobrachium_ritteri",1
"Nebria_brevicollis",1
"Nephrurus_laevissimus",1
"Nephrurus_levis",1
"Nephrurus_vertebralis",1
"Nerodia_cyclopion",1
"Nerodia_erythrogaster",1
"Nerodia_taxispilota",1
"Notiophilus_biguttatus",1
"Notorynchus_cepedianus",1
"Notostomus_gibbosus",1
"Notothenia_coriiceps",1
"Notothenia_rossii",1
"Nucifraga_columbiana",1
"Nucras_tessellata",1
"Oceanites_oceanicus",1
"Ocinebrina_lurida",1
"Odorrana_swinhoana",1
"Ommastrephes_bartramii",1
"Oostethus_brachyurus",1
"Ophiacantha_pentactis",1
"Ophioperla_koehleri",1
"Ophiopholis_aculeata",1
"Ophioplinthus_gelida",1
"Ophiothrix_fragilis",1
"Ophiura_albida",1
"Ophiura_ophiura",1
"Orthasterias_koehleri",1
"Osornophryne_percrassa",1
"Oswaldella_antarctica",1
"Ovalipes_catharus",1
"Oxybelis_aeneus",1
"Oxybelis_fulgidus",1
"Pachydactylus_capensis",1
"Pachydactylus_rugosus",1
"Pachydactylus_wahlbergii",1
"Pagurus_bernhardus",1
"Palaemon_adspersus",1
"Pantherophis_alleghaniensis",1
"Parasagitta_friderici",1
"Pardosa_ramulosa",1
"Pedioplanis_lineoocellata",1
"Pedioplanis_namaquensis",1
"Pelmatolapia_mariae",1
"Peristernia_australiensis",1
"Peristernia_chlorostoma",1
"Peristernia_forskalii",1
"Peristernia_nassatula",1
"Peristernia_reincarnata",1
"Peristernia_ustulata",1
"Petricia_vernicina",1
"Phaeognathus_hubrichti",1
"Phalacrocorax_sulcirostris",1
"Phoca_vitulina_richardii",1
"Phrynobatrachus_mababiensis",1
"Phrynosoma_platyrhinos",1
"Phyllodytes_luteolus",1
"Phyllomedusa_burmeisteri",1
"Pisaster_brevispinus",1
"Pithecopus_rohdei",1
"Pituophis_melanoleucus",1
"Platyrhina_tangi",1
"Plesionika_gigliolii",1
"Plesionika_heterocarpus",1
"Plethodon_cinereus",1
"Plethodon_shermani",1
"Pleurobranchaea_californica",1
"Pleuronectes_platessa",1
"Plica_plica",1
"Plica_umbra",1
"Pontaster_tenuispinus",1
"Potamites_ecpleopus",1
"Potamites_juruazensis",1
"Pristobrycon",1
"Protomyctophum_bolini",1
"Protomyctophum_choriodon",1
"Protomyctophum_tenisoni",1
"Pseudis_minuta",1
"Pseudis_tocantins",1
"Pseudogonatodes_guianensis",1
"Psilaster_andromeda",1
"Psilaster_pectinatus",1
"Ptenopus_garrulus",1
"Pterostichus_melanarius",1
"Ptychadena_anchietae",1
"Ptychadena_mascareniensis",1
"Pusa_hispida",1
"Pygopristis_denticulata",1
"Pygopus_nigriceps",1
"Pygoscelis_papua",1
"Quasipaa_verrucospinosa",1
"Rana_areolata",1
"Rana_draytonii",1
"Rana_sphenocephala",1
"Rathbunaster_californicus",1
"Rathkea_octopunctata",1
"Rattus_rattus",1
"Regina_grahamii",1
"Remorina_albescens",1
"Rhonciscus_crocro",1
"Rhynchoedura_ornata",1
"Sagitta_gazellae",1
"Salamandra_corsica",1
"Salamandrina_perspicillata",1
"Sceloporus_magister",1
"Sclerophrys_garmani",1
"Scyliorhinus_stellaris",1
"Scytodes_longipes",1
"Serrapinnus",1
"Serrapinnus_notomelas",1
"Somateria_mollissima",1
"Spea_multiplicata",1
"Strophurus_ciliaris",1
"Strophurus_elderi",1
"Strophurus_strophurus",1
"Synodontis_nigromaculata",1
"Tamoya_haplonema",1
"Tantilla_coronata",1
"Thamnophis_atratus",1
"Thamnophis_butleri",1
"Thamnophis_cyrtopsis",1
"Thamnophis_eques",1
"Thamnophis_ordinoides",1
"Thamnophis_radix",1
"Thamnophis_rufipunctatus",1
"Thecadactylus_rapicauda",1
"Thrissacanthias_penicillatus",1
"Thunnus_albacares",1
"Timon_lepidus",1
"Tomopterna_cryptotis",1
"Tosia_australis",1
"Trachylepis_planifrons",1
"Trachylepis_quinquetaeniata",1
"Trachylepis_spilogaster",1
"Trachylepis_striata",1
"Trachylepis_variegata",1
"Trematomus_bernacchii",1
"Trematomus_newnesi",1
"Trimeresurus_gracilis",1
"Tropidurus_oreadicus",1
"Trygonorrhina_fasciata",1
"Tubularia_ralphii",1
"Tursiops_aduncus",1
"Uma_scoparia",1
"Uracentron_flaviceps",1
"Uranoscodon_superciliosus",1
"Urocyon_cinereoargenteus",1
"Uromacer_catesbyi",1
"Uromacer_oxyrhynchus",1
"Urosaurus_graciosus",1
"Ursus_arctos",1
"Varanus_brevicauda",1
"Varanus_eremius",1
"Varanus_tristis",1
"Virginia_valeriae",1
"Vulpes_velox",1
"Xantusia_vigilis",1
"Xenopus_borealis",1
"Zachaenus_parvulus",1
"Zenaida_asiatica",1
"Zenaida_macroura",1
