Index,Continent,Species Distribution,Order,FAMILY,Genus,Species,synonyms,Common,LogMass (g),Combined.Mass (g),Mass Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,AF,,Artiodactyla,Bovidae,Cephalophus,rufilatus,,Red-flanked Duiker,4.079,11999.966,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,AF,,Artiodactyla,Bovidae,Cephalophus,silvicultor,,Yellow-backed Duiker,4.86,72500.333,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,AF,,Artiodactyla,Bovidae,Cephalophus,spadix,,"Abbott's Duiker, Minde",4.748,56000.254,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,AF,Zaire,Artiodactyla,Bovidae,Cephalophus,weynsi,,Weyns's Duiker,4.23,17000,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,AF,,Artiodactyla,Bovidae,Cephalophus,zebra,,"Zebra Duiker, Banded Duiker, Zebra Antelope",4.243,17500.079,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,AF,,Artiodactyla,Bovidae,Connochaetes,gnou,,"Black Wildebeest, White-tailed Gnu",5.255,179998.962,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,AF,,Artiodactyla,Bovidae,Connochaetes,taurinus,,"Common Wildebeest, White-bearded Wildebeest, Blue Wildebeest",5.255,179998.962,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,AF,,Artiodactyla,Bovidae,Damaliscus,lunatus,,"Topi, Tsessebe, Tiang",5.134,136000.342,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,AF,,Artiodactyla,Bovidae,Damaliscus,pygargus,Damaliscus dorcas subspecies dorcas,"Blesbok, Bontebok",5.009,102000,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,AF,,Artiodactyla,Bovidae,Dorcatragus,megalotis,Oreotragus megalotis,"Beira, Beira Antelope",4.011,10249.909,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,AF,,Artiodactyla,Bovidae,Eudorcas,rufifrons,Gazella rufifrons  ,Red-fronted Gazelle,4.431,26999.766,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,AF,,Artiodactyla,Bovidae,Eudorcas,rufina,Gazella rufina  ,Red Gazelle,4.602,40000,3_ 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,AF,,Artiodactyla,Bovidae,Eudorcas,thomsonii,Gazella thomsonii  ,Thomson's Gazelle,4.312,20499.818,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
