Species,Clade I,Clade II,Clade III,Dietary niche breadth,Standard niche breadth,Foraging mode,Time of activity,No. empty,Total guts,Percent Empty,Mean SVL (mm),SD SVL,Predatory,Huey_SpeciesName
Caimanops amphiboluroides,Iguania,Agamidae,Agamidae,1.3,0.065,SW,D,1,11,9.1,71,16.5,T,
Ctenophorus caudicinctus,Iguania,Agamidae,Agamidae,NA,NA,SW,D,2,77,2.6,65,4.8,T,
Ctenophorus clayi,Iguania,Agamidae,Agamidae,4.7,0.235,SW,D,2,25,8,46,4.5,T,
Ctenophorus fordi,Iguania,Agamidae,Agamidae,3.6,0.18,SW,D,2,111,1.8,48,4.3,T,
Ctenophorus inermis,Iguania,Agamidae,Agamidae,6.8,0.34,SW,D,4,197,2,78,20.5,T,
Ctenophorus isolepis,Iguania,Agamidae,Agamidae,3.1,0.155,SW,D,9,511,1.8,51,7.7,T,
Ctenophorus reticulatus,Iguania,Agamidae,Agamidae,4.1,0.205,SW,D,1,44,2.3,72,17.3,T,
Ctenophorus scutulatus,Iguania,Agamidae,Agamidae,5.4,0.27,SW,D,1,89,1.1,75,22.5,T,
Diporiphora winneckei,Iguania,Agamidae,Agamidae,6.5,0.325,SW,D,0,36,0,44,8.5,T,
Lophognathus longirostris,Iguania,Agamidae,Agamidae,7.3,0.365,SW,D,1,77,1.3,56,20.9,T,
Alopoglossus angulatus ,Autarchoglossa,Gymnophthalmidae,Gymnophthalmidae,2.38,0.103,WF,D,5,38,13.16,41,13.2,T,
Alopoglossus atriventris ,Autarchoglossa,Gymnophthalmidae,Gymnophthalmidae,2.38,0.103,WF,D,6,19,31.58,36,10.2,T,
Cryptoblepharus plagiocephalus,Autarchoglossa,Scincidae,Scincidae,9.4,0.47,WF,D,17,99,17.2,37,3.9,T,
Ameiva festiva,Autarchoglossa,Teiidae,Teiidae,4.29,0.187,WF,D,7,52,13.46,86,25.7,T,
Arthrosaura reticulata ,Autarchoglossa,Gymnophthalmidae,Gymnophthalmidae,2.92,0.127,WF,D,9,45,20,48,14,T,
Cercosaura ocellata ,Autarchoglossa,Gymnophthalmidae,Gymnophthalmidae,6.49,0.282,WF,D,19,43,44.19,40,12.4,T,
Coleodactylus amazonicus,Gekkota,Gekkonidae,Gekkoninae,4.08,0.177,SW,D,8,121,6.61,21,2.7,T,
Coleodactylus septentrionalis,Gekkota,Gekkonidae,Gekkoninae,3.57,0.155,SW,D,3,46,6.52,27,3.6,T,
Ctenotus ariadnae ,Autarchoglossa,Scincidae,Scincidae,1.5,0.075,WF,D,3,15,20,54,16.1,T,
Ctenotus atlas ,Autarchoglossa,Scincidae,Scincidae,2.7,0.135,WF,D,2,27,7.4,58,5.5,T,
Ctenotus brooksi ,Autarchoglossa,Scincidae,Scincidae,9,0.45,WF,D,5,68,7.4,37,6.1,T,
