No.,Family,Genus name,Species name,Adult female mass,Source (female mass),Gestation length,First source (gestation),Gestation length (2),Second source (gestation),Litter size.,First source (litter size),Litter size. (2),Second source (litter size),Litter size. (3),Third source (litter size),Age at weaning,First source (age at weaning),Age at weaning.,Second source (age at weaning),Age at weaning. (2),Third source (age at weaning),Inter-birth interval.,First source (inter-birth interval),Inter-birth interval. (2),Second source (inter-birth interval),Female age at maturity,First source (age at maturity),Female age at maturity.,Second source (age at maturity),Female age at maturity (2),Third source (age at maturity),Maximum lifespan,First source (lifespan),Maximum lifespan (2),Second source (lifespan),Mass at birth,First source (mass at birth),Mass at birth (2),Second source (mass at birth),Mass at pouch vacation,First source (mass at pouch vacation),Mass at pouch vacation (2),Second source (mass at pouch vacation),Mass at pouch vacation (3),Third source (mass at pouch vacation),Mass at weaning,First source (mass at weaning),Mass at weaning (2),Second source (mass at weaning),Mass at weaning (3),Third source (mass at weaning),Female mass at maturity,Source (mass at maturity),diet type,First source (diet),Second source (diet),Mean group size,First source (group size),Mean group size (2),Second source (group size),Mean group size (3),Third source (group size),Population density,First source (density),Population density.,Second source (density),Population density. (2),Third source (density),Mean annual rainfall,Source (rainfall),diurnality,Source (diurnality),shelter type,Source (shelter),arboreality,Source (arboreality)
59,Macropodidae,Lagostrophus,fasciatus,1800,Prince 1995,_,_,_,_,1,Prince 1995,_,_,_,_,270,Prince 1995,_,_,_,_,365,Prince 1995,_,_,365,Prince 1995,_,_,_,_,4,Hughes 1965,_,_,_,_,_,_,360,Pers. comm. J. Courtenay,330,Tyndale-Biscoe 1965,_,_,900,Tyndale-Biscoe 1965,_,_,_,_,1000,Tyndale-Biscoe 1965,1,Prince 1995,_,1,Prince 1995,_,_,_,_,0.88,Short & Turner 1992,_,_,_,_,200,AUSLIG 1980,2,Prince 1995,3,Prince 1995,2,Prince 1995
60,Vombatidae,Lasiorhinus,krefftii,31000,Johnson & Gordon 1995,_,_,_,_,1,Johnson & Gordon 1995,_,_,_,_,365,Hoyle et al. 1998,_,_,_,_,548,Johnson & Gordon 1995,_,_,_,_,_,_,_,_,27,Hoyle et al. 1998,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Johnson & Gordon 1995,_,1,Johnson 1991,_,_,_,_,0.22,Crossman et al. 1994,_,_,_,_,576,Johnson 1991,2,Johnson & Gordon 1995,1,Johnson & Gordon 1995,2,Johnson 1991
61,Vombatidae,Lasiorhinus,latifrons,26000,Wells 1995,21,Gaughwin 1982,_,_,1,Wells 1995,_,_,_,_,365,Wells 1995,270,Wells 1978,365,Gaughwin 1982,365,Wells 1995,_,_,1095,Wells 1995,540,Gaughwin 1982,_,_,20,Wells 1995,17,Collins 1973,0.5,Gaughwin 1982,_,_,2000,Wells 1978,4000,Gaughwin 1982,_,_,7500,Gaughwin 1982,_,_,_,_,20000,Gaughwin 1982,1,Wells 1995,_,1,Wells 1995,_,_,_,_,4.8,Wells 1978,0.68,Tartowski et al. 1998,_,_,300,AUSLIG 1980,2,Wells 1995,1,Wells 1995,2,Wells 1995
62,Macropodidae,Macropus,agilis,11000,Merchant 1995a,29,Merchant 1976,_,_,1,Merchant 1976,_,_,_,_,330,Bolton 1974,322,Merchant 1976,_,_,220,Merchant 1976,_,_,405,Kirkpatrick & Johnson 1969,357,Merchant 1976,_,_,12,Kirkpatrick & Johnson 1969,_,_,0.69,Merchant 1976,_,_,2287,Merchant 1976,_,_,_,_,_,_,_,_,_,_,_,_,1,Merchant 1995a.,Dressen 1993,2.5,Dressen 1993,_,_,_,_,0.16,Dressen 1993,0.2,Bell 1973,_,_,1200,AUSLIG 1980,2,Dressen 1993,3,Bolton 1974,2,Merchant 1995a
63,Macropodidae,Macropus,antilopinus,17500,Calaby 1995b,34,Calaby 1995b,_,_,1,Calaby 1995b,_,_,_,_,426,Poole & Merchant 1987,_,_,_,_,270,Calaby 1995b,_,_,802,Poole & Merchant 1987,_,_,_,_,_,_,_,_,0.703,Poole & Merchant 1987,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Croft 1987,_,4.5,Croft 1982,2.2,Russell & Richardson 1971,_,_,0.25,Croft 1987,0.18,Calaby 1995b,_,_,1200,AUSLIG 1980,1,Calaby 1995b,3,Croft 1982,2,Russell & Richardson 1971
64,Macropodidae,Macropus,dorsalis,6500,Kirkpatrick 1995,34,Kirkpatrick 1995,36,Poole 1981,1,Kirkpatrick 1995,_,_,_,_,_,_,_,_,_,_,211,Kirkpatrick 1995,_,_,420,Kirkpatrick 1995,_,_,_,_,15,Kirkpatrick 1995,12,Collins 1973,_,_,_,_,1000,Hoolihan 1994,_,_,_,_,_,_,_,_,_,_,_,_,1,Dawson 1989.,Ellis et al. 1992,6,Hoolihan & Goldizen 1998,4.3,Johnson 1985,_,_,1.1,Lundie-Jenkins et al. 1998,_,_,_,_,700,AUSLIG 1980,2,Evans 1996,3,Evans 1992,2,Kirkpatrick 1995
65,Macropodidae,Macropus,eugenii,5500,Smith & Hinds 1995,29,Smith & Hinds 1995,_,_,1,Smith & Hinds 1995,_,_,_,_,350,Green et al. 1988,300,Janssens & Rogers 1989,_,_,365,Smith & Hinds 1995,_,_,270,Williams et al. 1998,_,_,_,_,14,Inns 1981,_,_,0.45,Tyndale-Biscoe & Rodger 1978.,0.37,Lee & Ward 1989,1100,Maynes 1976,1000,Russell 1989,960,Green et al. 1988,3000,Russell 1989,_,_,_,_,2000,Williams et al. 1998,1,Christensen 1980,_,1,Inns 1980,_,_,_,_,0.88,Christensen 1980,0.62,Inns 1980,_,_,500,AUSLIG 1980,2,Inns 1980,3,Smith & Hinds 1995,2,Smith & Hinds 1995
66,Macropodidae,Macropus,fuliginosus,16000,Poole 1995b,31,Poole 1995b,_,_,1,Poole 1995b,_,_,_,_,540,Poole 1975b,_,_,_,_,372,Poole 1975b,_,_,604,Poole 1976,420,Poole & Catling 1974,_,_,20,QDEH 1993,_,_,0.804,Poole 1975b,_,_,5500,Poole 1976,_,_,_,_,11000,Norbury et al. 1988,_,_,_,_,1600,Norbury et al. 1988,1,Barker 1987,_,3.1,Johnson 1983,3.2,Arnold et al. 1990,2.5,Arnold et al. 1990,0.58,Coulson 1993,0.09,Johnson & Bayliss 1981,0.56,Arnold et al. 1991,300,AUSLIG 1980,1,Arnold et al. 1990,3,Poole 1995b,2,Poole 1995b
67,Macropodidae,Macropus,giganteus,17800,Poole 1995a,36,Poole 1995a,_,_,1,Poole 1995a,_,_,_,_,500,Jarman & Southwell 1986,540,Poole 1995,537,Stuart-Dick 1987,363,Poole 1975b,_,_,660,Poole 1995a,600,Poole 1983,540,Kirkpatrick 1965,24,Kirkpatrick 1965,_,_,0.924,Poole 1975b,0.74,Lee & Ward 1989,5500,Jarman & Southwell 1986,_,_,_,_,12000,Stuart-Dick 1987,_,_,_,_,18000,Jarman & Southwell 1986,1,Jarman & Phillips 1989,_,3.5,Clarke et al. 1995,4.1,Jarman & Southwell 1986,3.7,Kaufmann 1975,0.44,Southwell 1984,0.5,Coulson 1990,0.4,Jarman & Southwell 1986,800,AUSLIG 1980,1,Clarke et al. 1995,3,Poole 1995a,2,Poole 1995a
68,Macropodidae,Macropus,irma,8000,Christensen 1995b,_,_,_,_,1,Christensen 1995b,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Dawson 1989,_,1,Christensen 1995b,_,_,_,_,0.31,Algar 1986,0.23,Algar 1986,_,_,1000,AUSLIG 1980,1,Christensen 1995b,3,Algar 1986,2,Christensen 1995b
69,Macropodidae,Macropus,parma,3550,Maynes 1995,31,Maynes 1973,35,Maynes 1995,1,Maynes 1995,_,_,_,_,294,Maynes 1995,_,_,_,_,213,Maynes 1995,_,_,424,Maynes 1973,_,_,_,_,10,Maynes 1972,_,_,0.51,Lee & Ward 1989,_,_,754,Maynes 1976,750,Maynes 1995,_,_,1750,Russell 1982,_,_,_,_,2485,Maynes 1976,1,Maynes 1995,_,1.3,Maynes 1995,_,_,_,_,_,_,_,_,_,_,1200,AUSLIG 1980,2,Maynes 1995,3,Johnson 1977,2,Maynes 1995
70,Macropodidae,Macropus,parryi,11000,Johnson 1995e,38,Johnson 1998,_,_,1,Johnson 1995e,_,_,_,_,645,Kaufmann 1974b,450,Johnson 1995,421,Johnson 1998,266,Johnson 1998,_,_,630,Johnson 1995e,586,Johnson 1998,720,Kaufmann 1974b,14,Collins 1973,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Jarman & Phillips 1989,_,6,Kaufmann 1974b,3.1,Bell 1973,_,_,0.48,Kaufmann 1974b,0.23,Southwell & Fletcher 1988,0.39,Southwell & Fletcher 1990,1000,AUSLIG 1980,1,Johnson 1995e,3,Johnson 1995e,2,Johnson 1995e
71,Macropodidae,Macropus,robustus,15600,Poole 1995c,34,Poole 1995c,_,_,1,Poole 1995c,_,_,_,_,409,Poole & Merchant 1987,_,_,_,_,256,Croft 1981,_,_,535,Poole & Merchant 1987,909,Ashworth 1995,630,Poole 1995c,24,Kirkpatrick 1965,_,_,0.703,Lee & Ward 1989,_,_,3000,Croft 1981,_,_,_,_,7500,Ealey 1967,_,_,_,_,12500,Croft 1981,1,Ellis et al. 1977,_,2.1,Croft 1981,1.4,Russell & Richardson 1971,1.9,Clancy & Croft 1991,0.4,Taylor 1982,0.08,Clancy & Croft 1992,0.44,Croft 1981,200,AUSLIG 1980,1,Croft 1981,2,Poole 1995c,2,Poole 1995c
72,Macropodidae,Macropus,robustus,15600,Poole 1995c,34,Poole 1995c,_,_,1,Poole 1995c,_,_,_,_,351,Poole & Merchant 1987,_,_,_,_,264,Poole & Merchant 1987,_,_,613,Poole & Merchant 1987,_,_,_,_,23,Russell & Richardson 1971,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Poole 1995c,_,2.83,Taylor 1983,_,_,_,_,0.54,Taylor 1983,0.08,Taylor 1983,_,_,200,AUSLIG 1980,1,Poole 1995c,2,Poole 1995c,2,Poole 1995c
73,Macropodidae,Macropus,rufogriseus,13800,Calaby 1995c,27,Calaby 1995c,_,_,1,Calaby 1995c,_,_,_,_,415,Merchant & Calaby 1981,420,Calaby 1995,435,Johnson 1987b,286,Merchant & Calaby 1981,_,_,412,Merchant & Calaby 1981,420,Calaby 1995c,390,McEnvoy 1970,19,McEnvoy 1970,11,Higginbottom 1991,0.69,Merchant & Calaby 1981,0.45,Lee & Ward 1989,2300,Russell 1982,_,_,_,_,4450,Russell 1982,_,_,_,_,6500,Maynes 1976,1,Jarman & Phillips 1989,_,1.5,Kaufmann 1974,1.63,Johnson 1989a,_,_,0.48,Johnson 1989a,0.15,Coulson 1990,0.45,Southwell 1987,1200,AUSLIG 1980,1,Calaby 1995c,3,Calaby 1995c,2,Calaby 1995c
